91753
47808	476	9072
46491	1085	9219
40616	476	26028
38558	1120	48139
58887	1085	29611
45009	249	53504
55342	1085	2907
33585	658	34951
32955	1254	4696
32492	1254	2459
54749	1085	5785
30133	560	19020
34226	1069	9586
30961	1085	14174
49228	1085	4182
37670	1085	22676
40773	309	53757
56319	18	25042
38198	1085	7203
54866	1254	4995
54649	476	7548
58283	476	17711
52020	476	4487
44540	476	27466
57031	858	36982
54676	74	43104
31585	658	52624
40994	1085	17403
47545	476	24374
59202	1120	24426
39740	809	39739
59214	658	37806
39514	1002	29306
54671	1085	3558
38636	1085	14444
39676	1085	26411
53089	1254	686
52348	1254	2106
35122	1085	29307
57845	1085	28621
53847	309	51270
49293	1248	10676
45719	1066	42780
52364	1254	260
48699	1091	39679
56748	1085	22869
48893	82	3739
57456	74	53762
47031	1192	57403
33709	20	27828
57199	1254	20989
31599	1085	6025
48319	1085	27381
32551	1254	3821
59409	1066	34484
30563	1254	2270
38392	1091	30313
35823	1066	54276
59154	476	10726
31133	396	16627
54912	1254	13095
33094	789	33095
30559	74	59021
55827	74	57503
31111	1085	43079
46257	700	17120
40960	1254	2408
49962	90	54558
53018	1085	1551
56572	1254	11731
48018	581	16859
55167	608	50283
40925	1254	11612
50459	1254	13491
31049	915	2629
50351	658	37888
35628	1085	17211
57071	1254	16852
50590	1085	26351
30302	476	4688
34403	658	58598
42320	1066	43850
41327	1254	7661
38082	1066	44418
38321	658	31431
30171	1254	3258
56430	74	39138
55425	18	12131
33619	581	23365
46983	1079	10634
53197	1085	2976
57685	1085	3139
30985	1192	57105
54628	1085	19218
33822	1192	41728
36373	309	46132
33087	74	41837
56063	476	8525
55037	1254	25832
40538	1192	48568
54663	1120	17101
56716	1066	44199
45564	1254	413
53013	1085	1807
58791	1085	19598
54020	1085	8014
56027	1254	24790
43702	1254	1023
57063	1085	1101
34174	809	50069
39571	1254	16114
45832	476	4581
30600	858	15966
31200	476	15836
31509	476	24557
50811	582	17042
33040	74	41809
40912	1066	48411
35048	82	5837
54218	1085	13629
56930	144	7733
38327	88	38328
46010	1254	998
47410	1192	47214
55484	457	59652
45008	1254	3006
47366	1066	40282
47385	1085	21090
36664	1085	12821
38952	1085	19878
32984	476	8288
45766	1254	3258
37215	1254	22660
34171	901	8772
33350	1085	12028
55827	481	59943
49291	1085	3234
56224	1085	22037
41007	396	9402
34176	630	26746
43328	1254	23986
46091	1254	19095
53432	1066	46597
58274	1085	2301
59393	1254	10526
39878	476	17211
33204	1254	24708
38004	739	18919
44877	658	36644
49046	1192	42206
49090	476	19869
50453	1254	22546
38904	1085	2023
45619	144	21615
30241	1192	52136
58912	1085	9818
55742	837	5349
45543	986	57812
38343	476	10339
58555	133	1429
47967	630	23593
56561	144	2212
52048	1254	7254
53256	1254	3241
46151	242	58851
43660	1066	57286
38090	1254	16368
29991	1192	51572
41240	1085	5891
55480	1066	36797
34807	658	47960
30056	671	7425
45201	476	4805
57494	1085	27070
33535	1085	18956
41272	1085	14440
50590	858	37215
53563	1254	24248
32775	1002	3965
41364	1085	1000
32371	1254	18046
56242	1002	5215
56888	338	55817
48963	1254	2957
36662	630	17219
55765	658	36282
38225	1254	2495
35213	1254	4647
57085	309	53722
49272	1066	34588
39707	1066	44033
53124	476	28425
34914	1254	7537
30115	1085	14285
57103	608	49961
56935	74	34603
56159	1085	25723
40406	1085	27610
30180	1192	34719
31151	476	23206
35076	1066	36966
49616	1254	19145
45637	1066	50665
30523	1192	31369
46233	1066	37909
49801	742	2637
32423	1085	4607
55123	1085	4823
56056	1066	57478
42320	1254	12694
51737	1085	16888
36787	1254	10682
50263	476	29120
59446	795	15621
32124	1066	45826
54047	1091	55118
56410	1085	7900
55534	1085	18038
54768	1254	12209
55033	1254	21294
55109	1254	14108
55971	658	43781
54824	249	33675
53387	1192	38573
55703	1085	11638
55576	156	8870
32265	1085	13242
55474	476	8790
38230	82	9052
38922	1254	16308
56088	1254	28511
45712	1066	30721
55041	1085	285
34833	1066	37028
32815	1066	46528
54003	144	4696
53184	1254	4262
54895	1091	54899
55264	1192	33312
32745	476	27372
54114	74	39376
44887	1066	33395
39533	1085	13670
55827	1066	43607
45111	476	11828
38520	1254	24710
58768	1254	23630
56350	1198	46165
38346	476	5730
32997	1066	31487
46887	74	31037
55995	1071	9812
58047	1254	4696
57520	924	3348
38119	1254	4585
56415	1066	33894
35566	1085	2106
58427	1085	20640
48253	1085	12201
56173	1254	6761
55953	1085	272
38409	1254	1225
48801	1085	8575
40904	1254	1878
51202	476	22546
54951	1254	37041
50847	1254	4581
43898	144	21466
44573	203	18303
39634	1133	9022
36373	1085	14180
39705	1254	14223
37475	1254	14446
56639	476	7497
40723	309	50876
52399	1254	11008
39656	1254	1150
54738	1254	4388
45280	1254	1024
35197	1085	23412
30304	913	5773
56513	818	58048
59176	1254	3246
31321	1254	20959
53855	873	28904
41468	1085	16162
54784	1254	424
38408	476	26298
39458	1254	2749
49665	1066	51994
57553	1085	6279
56567	1254	6670
30300	1085	13643
34253	818	34095
40615	476	23195
40017	170	28511
44777	309	50479
52540	1066	34869
29739	1254	11604
50266	144	10834
35274	1066	58972
33040	1066	47985
57746	1254	5481
36869	18	25042
45433	144	16622
47928	309	58524
57167	1254	2198
